Species,Lat.mean,T.binary
Vicia_galeata,33.1857783902439,0
Vicia_freyniana,41.289625,0
Vicia_floridana,29.2360390907534,0
Vicia_filicaulis,33.169373525142,0
Vicia_ferreirensis,34.0399626481178,0
Vicia_faba,51.934484165011,0
Vicia_exigua,33.1715144523045,0
Vicia_esdraelonensis,32.8796546363636,0
Vicia_ervilia,38.4440111113972,0
Vicia_eristalioides,36,0
Vicia_epetiolaris,-28.9023906129032,0
Vicia_dumetorum,53.0731163024835,0
Vicia_disperma,41.332009788,0
Vicia_dionysiensis,32.77123195,0
Vicia_dichroantha,26.8037825555556,0
Vicia_dennesiana,37.7986620588235,0
Vicia_cypria,34.275825465,0
Vicia_cuspidata,36.8274469849057,0
Vicia_crocea,42.0717234253448,0
Vicia_cretica,37.0346426388839,0
Vicia_cracca,57.2764474974103,0
Vicia_cirrhosa,29.3077301030444,0
Vicia_ciliatula,42.1718232586207,0
Vicia_chaetocalyx,28.0018641277032,0
Vicia_cassubica,57.1838799516956,0
Vicia_cassia,36.2240892727273,0
Vicia_caroliniana,37.9244931522887,0
Vicia_capreolata,33.9527988856645,0
Vicia_cappadocica,40.0347259130435,0
Vicia_caesarea,37.104033,0
Vicia_bungei,32.8105435697872,0
Vicia_bithynica,42.9904970351531,0
Vicia_biennis,53.0941322608696,0
Vicia_benghalensis,38.0522637284749,0
Vicia_barbazitae,40.0740341911765,0
Vicia_assyriaca,37.2106728,0
Vicia_articulata,41.2222878667594,0
Vicia_anatolica,39.9756992666667,0
Vicia_amurensis,40.1839105643564,0
Vicia_amoena,41.6219483085417,0
Vicia_americana,41.6715610764195,0
Vicia_altissima,40.8771293415933,0
Vicia_alpestris,41.7277880754386,0
Vicia_aintabensis,35.6767025666667,0
Vicia_acutifolia,28.9014852956944,0
Vicia_abbreviata,41.2569134340659,0
Vesselowskya_rubifolia,-30.9242752627737,0
Verticordia_staminosa,-32.5805747931034,0
Verticordia_plumosa,-33.4325530802292,0
Verticordia_picta,-31.1093227975,0
Verticordia_pennigera,-31.9191464907749,0
Verticordia_lindleyi,-32.63835075,0
Verticordia_grandis,-29.9100644601227,0
Verticordia_grandiflora,-32.777209137931,0
Verticordia_endlicheriana,-32.8013337027027,0
Verticordia_dichroma,-27.3602564102564,0
Verticordia_aurea,-29.94,0
Verrucularia_glaucophylla,-12.5051163777799,1
Vernicia_montana,23.2490274090438,1
Vernicia_fordii,23.4055258267763,1
Vepris_reflexa,-25.6376799473684,0
Vepris_lanceolata,-26.9505276928571,0
Ventilago_viminalis,-23.3759787765237,1
Ventilago_S61,-19.2256690194647,1
Ventilago_elegans,22.7715297419355,1
Vella_spinosa,37.255388738409,0
Vella_pseudocytisus,39.6574742507341,0
Vella_mairei,32.06245025,0
Vella_lucentina,38.4317277887743,0
Vella_castrilensis,37.8193885658559,0
Vella_bourgaeana,37.0276592954366,0
Vella_aspera,41.3845104450326,0
Vella_anremerica,32.0258415,0
Velascoa_recondita,21.381388925,1
Vavilovia_formosa,39.6883802840741,0
Vavaea_amicorum,-11.7627076970387,1
Vauquelinia_corymbosa,24.4307569459075,0
Vauquelinia_californica,31.1053885330336,0
Vaughania_pseudocompressa,-24.4656466666667,0
Vaughania_mahafalensis,-23.3480710909091,1
Vaughania_longidentata,-24.8449459047619,0
Vaughania_interrupta,-24.6704917166667,0
Vaughania_humbertiana,-23.4405968461538,0
Vaughania_dionaeifolia,-15.9389872333333,1
Vaughania_depauperata,-24.2715948793103,0
Vaughania_cloiselii,-24.1893346,0
Vaughania_cerighellii,-21.6948207857143,1
Vatovaea_pseudolablab,10.7530770416667,1
Vatica_pauciflora,1.12255726315789,1
Vatica_papuana,-4.5297773373494,1
Vatica_odorata,5.56834064743558,1
Vatica_micrantha,3.64702191891892,1
Vatica_mangachapoi,8.22821898245614,1
Vatica_diospyroides,9.9416665,1
Vatica_coriacea,2.9729165,1
Vatica_chinensis,7.847926,1
Vatica_bella,3.878750125,1
Vateriopsis_seychellarum,-4.6583335,1
Vateria_copallifera,6.939555125,1
Vataireopsis_surinamensis,1.73006071428571,1
Vataireopsis_speciosa,-6.10972064705882,1
Vataireopsis_araroba,-17.6301599490252,1
Vatairea_sericea,-4.99432357419355,1
Vatairea_paraensis,0.82897387262792,1
Vatairea_macrocarpa,-13.1619855625276,1
Vatairea_lundellii,16.5494739113438,1
Vatairea_heteroptera,-18.4423958924566,1
Vatairea_guianensis,-0.846139866122926,1
Vatairea_fusca,-9.85082089315147,1
Vatairea_erythrocarpa,-1.22873909836066,1
Vasconcellea_weberbaueri,-6.097486,1
Vasconcellea_stipulata,-4.02021066666667,1
Vasconcellea_sprucei,-9.294819,1
Vasconcellea_sphaerocarpa,5.617959,1
Vasconcellea_quercifolia,-24.5390887205405,0
Vasconcellea_pulchra,-0.0578567142857143,1
Vasconcellea_parviflora,-2.77243646375597,1
Vasconcellea_omnilingua,-16.183333,1
Vasconcellea_monoica,-9.57055130769231,1
Vasconcellea_microcarpa,-2.79690071230778,1
Vasconcellea_longiflora,2.01707525,1
Vasconcellea_horovitziana,-0.71485425,1
Vasconcellea_goudotiana,5.43069066666667,1
Vasconcellea_glandulosa,-21.5425382618414,1
